date,nav,cash,transaction_costs,n_positions,returns
2015-04-08,10000000.0,10000000.0,0.0,0,
2015-04-09,10000000.0,10000000.0,0.0,0,0.0
2015-04-10,9990076.906317798,3396968.2079178006,9923.0936822,7,-0.0009923093682201456
2015-04-13,9989438.7001178,3396968.2079178006,0.0,7,-6.388401270407407e-05
2015-04-14,10021517.377617799,3396968.2079178006,0.0,7,0.0032112592572013376
2015-04-15,10010857.6645178,3396968.2079178006,0.0,7,-0.0010636825441032727
2015-04-16,9996883.292317802,3396968.2079178006,0.0,7,-0.0013959215751840892
2015-04-17,9976231.527622402,2447524.988322401,2393.7893954,7,-0.0020658203253478558
2015-04-20,9982973.6367224,2447524.988322401,0.0,7,0.000675817224302655
2015-04-21,9967470.329222403,2447524.988322401,0.0,7,-0.0015529749014830951
2015-04-22,9925427.760722404,2447524.988322401,0.0,7,-0.0042179777928949
2015-04-23,9901247.876322402,2447524.988322401,0.0,7,-0.0024361553963133664
2015-04-24,9923365.060137,1606560.444137001,5299.975785400001,8,0.0022337774077436645
2015-04-27,9948330.090637,1606560.444137001,0.0,8,0.002515782735867278
2015-04-28,9926667.293037001,1606560.444137001,0.0,8,-0.0021775310431634276
2015-04-29,9933376.162237,1606560.444137001,0.0,8,0.0006758430601079279
2015-04-30,9942301.348937001,1606560.444137001,0.0,8,0.0008985048541634288
2015-05-01,9928691.017671403,4563641.7004714,5701.3384656,8,-0.0013689316776798188
2015-05-04,9956297.355271399,4563641.7004714,0.0,8,0.0027804609440320593
2015-05-05,9928454.113471402,4563641.7004714,0.0,8,-0.0027965458248648822
2015-05-06,9894882.5789714,4563641.7004714,0.0,8,-0.0033813455867666153
2015-05-07,9916321.094071398,4563641.7004714,0.0,8,0.0021666265293089904
2015-05-08,9889281.072651902,4964402.541751901,7174.0522195,8,-0.0027268198723074955
2015-05-11,9860867.9828519,4964402.541751901,0.0,8,-0.0028731198548472836
2015-05-12,9871325.201351903,4964402.541751901,0.0,8,0.0010604764730841598
2015-05-13,9875567.1116519,4964402.541751901,0.0,8,0.00042972044922762187
2015-05-14,9876517.551551903,4964402.541751901,0.0,8,9.624155142251567e-05
2015-05-15,9883777.260858001,4507469.048858001,1953.2439939,8,0.0007350474768261783
2015-05-18,9846178.289358001,4507469.048858001,0.0,8,-0.0038041095532271862
2015-05-19,9830509.523558002,4507469.048858001,0.0,8,-0.0015913550760028317
2015-05-20,9843879.814358,4507469.048858001,0.0,8,0.0013600811603871055
2015-05-21,9867378.911757998,4507469.048858001,0.0,8,0.002387178413710833
2015-05-22,9841389.434709601,3588204.2074096003,2734.2250484,8,-0.002633878487977026
2015-05-25,9828980.8478096,3588204.2074096003,0.0,8,-0.001260857217603606
2015-05-26,9856981.2688096,3588204.2074096003,0.0,8,0.0028487613755234786
2015-05-27,9876422.0623096,3588204.2074096003,0.0,8,0.001972286744778229
2015-05-28,9851350.0741096,3588204.2074096003,0.0,8,-0.002538569943834168
2015-05-29,9875372.924618099,5094104.4412181005,2212.3540915,8,0.0024385338382839628
2015-06-01,9853095.797218101,5094104.4412181005,0.0,8,-0.0022558264452438026
2015-06-02,9829371.6495181,5094104.4412181005,0.0,8,-0.0024077861606398576
2015-06-03,9826401.540118098,5094104.4412181005,0.0,8,-0.00030216676161065603
2015-06-04,9852246.313918099,5094104.4412181005,0.0,8,0.0026301361382887745
2015-06-05,9835063.544721302,7322564.3267213,5632.3884968,8,-0.0017440458398327863
2015-06-08,9805244.8629213,7322564.3267213,0.0,7,-0.003031874849045213
2015-06-09,9780517.185121302,7322564.3267213,0.0,7,-0.0025218827419094536
2015-06-10,9775137.9016213,7322564.3267213,0.0,7,-0.000549999902682452
2015-06-11,9792768.088821303,7322564.3267213,0.0,7,0.0018035742694819668
2015-06-12,9791495.3805467,6253029.800246702,5184.8880745999995,8,-0.0001299640983080108
2015-06-15,9804153.456846703,6253029.800246702,0.0,8,0.0012927623215910344
2015-06-16,9814813.741746701,6253029.800246702,0.0,8,0.0010873233417776351
2015-06-17,9822507.095046699,6253029.800246702,0.0,8,0.0007838511766427025
2015-06-18,9794974.944546703,6253029.800246702,0.0,8,-0.002802965702501714
2015-06-19,9822407.217863198,5113324.9011632,6102.9695835,8,0.0028006476251138945
2015-06-22,9804758.6314632,5113324.9011632,0.0,8,-0.0017967679417630888
2015-06-23,9777389.1486632,5113324.9011632,0.0,8,-0.00279144891054961
2015-06-24,9790831.9785632,5113324.9011632,0.0,8,0.001374889522714584
2015-06-25,9769641.790463202,5113324.9011632,0.0,8,-0.0021642888108379665
2015-06-26,9771254.4639122,6362202.790612199,2616.666751,8,0.00016506986474906782
2015-06-29,9794069.872612199,6362202.790612199,0.0,8,0.0023349518512962852
2015-06-30,9801198.3869122,6362202.790612199,0.0,8,0.0007278398452041923
2015-07-01,9799546.821812198,6362202.790612199,0.0,8,-0.00016850644531474224
2015-07-02,9824524.4736122,6362202.790612199,0.0,8,0.0025488578455901134
2015-07-03,9821046.859955197,5683186.241455199,1534.5995570000002,8,-0.00035397272064863206
2015-07-06,9838857.9859552,5683186.241455199,0.0,8,0.0018135669500392027
2015-07-07,9842814.409255201,5683186.241455199,0.0,8,0.0004021222082530862
2015-07-08,9868342.1660552,5683186.241455199,0.0,8,0.0025935424298964005
2015-07-09,9848262.0673552,5683186.241455199,0.0,8,-0.002034799600795223
2015-07-10,9833182.5822089,6421306.1859089,5981.9570463,8,-0.0015311823591988016
2015-07-13,9830893.807708899,6421306.1859089,0.0,8,-0.00023276029717400615
2015-07-14,9796404.9139089,6421306.1859089,0.0,8,-0.0035082154760895934
2015-07-15,9824574.249108901,6421306.1859089,0.0,8,0.0028754768149696908
2015-07-16,9848280.8506089,6421306.1859089,0.0,8,0.002412990211982935
2015-07-17,9835219.429963898,8143493.2481638985,4032.906345,8,-0.0013262640295432782
2015-07-20,9830690.2549639,8143493.2481638985,0.0,8,-0.00046050573983114074
2015-07-21,9843254.625763899,8143493.2481638985,0.0,8,0.001278076154790142
2015-07-22,9850329.3660639,8143493.2481638985,0.0,8,0.0007187399461845434
2015-07-23,9848201.242163895,8143493.2481638985,0.0,8,-0.000216045963634226
2015-07-24,9833846.5435852,10193577.249685198,3607.2839786999994,8,-0.001457595983846982
2015-07-27,9823348.553285196,10193577.249685198,0.0,8,-0.0010675365182357677
2015-07-28,9806533.891285196,10193577.249685198,0.0,8,-0.0017117036933782526
2015-07-29,9814455.0835852,10193577.249685198,0.0,8,0.0008077463849938127
2015-07-30,9825769.886185197,10193577.249685198,0.0,8,0.001152871199025629
2015-07-31,9811183.438162202,8776060.860662201,3782.6288230000005,8,-0.0014845094269410053
2015-08-03,9824799.978662202,8776060.860662201,0.0,8,0.0013878591289033793
2015-08-04,9867282.5007622,8776060.860662201,0.0,8,0.004324008854354577
2015-08-05,9871822.089562196,8776060.860662201,0.0,8,0.000460064744233879
2015-08-06,9858082.8986622,8776060.860662201,0.0,8,-0.0013917583578134662
2015-08-07,9845587.2961923,8514246.115492301,4163.8674699,8,-0.0012675489340423507
2015-08-10,9825715.2063923,8514246.115492301,0.0,8,-0.0020183752580900105
2015-08-11,9864819.827992301,8514246.115492301,0.0,8,0.003979824448256064
2015-08-12,9869591.084292304,8514246.115492301,0.0,8,0.00048366380564424105
2015-08-13,9848896.753992299,8514246.115492301,0.0,8,-0.0020967768698078038
2015-08-14,9868299.222189803,8322618.057689804,3048.5969025,8,0.001970014376446727
2015-08-17,9863561.318489805,8322618.057689804,0.0,8,-0.0004801135021670344
2015-08-18,9864528.170889806,8322618.057689804,0.0,8,9.802264808644878e-05
2015-08-19,9824146.700189805,8322618.057689804,0.0,8,-0.0040936038703977
2015-08-20,9857443.697789803,8322618.057689804,0.0,8,0.0033893017496731126
2015-08-21,9837728.103946108,5763903.199246104,3451.2031436999996,8,-0.0020000716664621
2015-08-24,9860571.740246104,5763903.199246104,0.0,8,0.002322043876251456
2015-08-25,9861669.504646106,5763903.199246104,0.0,8,0.00011132867636076682
2015-08-26,9874923.476546101,5763903.199246104,0.0,8,0.0013439886515920207
2015-08-27,9869538.600446103,5763903.199246104,0.0,8,-0.000545308134568101
2015-08-28,9840491.597912503,5453259.473912504,5129.0567336,8,-0.002943096299586556
2015-08-31,9804654.932112504,5453259.473912504,0.0,8,-0.0036417556423300468
2015-09-01,9786777.681512503,5453259.473912504,0.0,8,-0.0018233431695233726
2015-09-02,9793586.223612502,5453259.473912504,0.0,8,0.0006956878271446865
2015-09-03,9768652.145012503,5453259.473912504,0.0,8,-0.002545959981429702
2015-09-04,9772428.667370003,4067391.9073700025,7402.7324425,8,0.000386596052499133
2015-09-07,9773004.836070001,4067391.9073700025,0.0,8,5.895859868720876e-05
2015-09-08,9755033.403870001,4067391.9073700025,0.0,8,-0.0018388850206715324
2015-09-09,9744444.427470004,4067391.9073700025,0.0,8,-0.0010854884818535249
2015-09-10,9761695.255870003,4067391.9073700025,0.0,8,0.0017703244683060504
2015-09-11,9785169.0398114,5590704.657111402,4114.7188586,8,0.0024046831340367447
2015-09-14,9778848.381311402,5590704.657111402,0.0,8,-0.0006459426990257366
2015-09-15,9739948.099811401,5590704.657111402,0.0,8,-0.003978002315113471
2015-09-16,9747311.354711402,5590704.657111402,0.0,8,0.0007559850242060406
